season,week,mean_ci_width,mean_cv,n_contestants,ci_width_rank_pct
25,1,0.028089988250559656,0.09794371503058132,13,0.23880597014925373
25,2,0.029723493885247514,0.10286764739937224,13,0.25970149253731345
25,3,0.034317117054341054,0.10019450043041357,11,0.3701492537313433
25,4,0.03490700903940138,0.10070794860195208,11,0.37910447761194027
25,5,0.03833986873072716,0.1001927298961276,10,0.44776119402985076
25,6,0.041642212037943764,0.09812320050051361,9,0.5194029850746269
25,7,0.04631735581695136,0.09656580426451927,8,0.6149253731343284
25,8,0.059144815650710864,0.09320389478954916,6,0.7671641791044777
25,9,0.07054284902228568,0.09332281022073323,5,0.8477611940298507
25,10,0.08548310118630485,0.09170143387712455,4,0.9134328358208955
26,1,0.03624024901542685,0.09904153066874208,10,0.42388059701492536
26,2,0.04433629190197215,0.10426315296594627,8,0.5761194029850746
26,3,0.05502916887808351,0.0984007563920093,6,0.7432835820895523
26,4,0.09312576310011417,0.0772369694487564,3,0.9432835820895522
27,1,0.03069303411658416,0.10005043317754524,13,0.2955223880597015
27,2,0.035698546193394576,0.10820292498791702,12,0.408955223880597
27,3,0.03932997930512597,0.11013995799524538,11,0.4746268656716418
27,4,0.042744746941982034,0.10960231625905466,10,0.5402985074626866
27,5,0.046113675257680176,0.10568684473201728,9,0.608955223880597
27,6,0.04434326025885253,0.10360509365284386,9,0.5791044776119403
27,7,0.049483687447278636,0.09983635450299373,8,0.6686567164179105
27,8,0.06343741105517943,0.10177950955523037,6,0.8029850746268656
27,9,0.09199035035740918,0.09644620042324276,4,0.9373134328358209
28,1,0.012980195076860051,0.043367908027285546,12,0.20597014925373133
28,2,0.00502744519607655,0.016868495391828407,12,0.023880597014925373
28,3,0.0068823709489463395,0.01838352637542932,10,0.08955223880597014
28,4,0.00583436465217178,0.01613727077245103,10,0.05373134328358209
28,5,0.008059962403421966,0.02036980393821529,9,0.13134328358208955
28,6,0.0107648209619505,0.027381869712517312,9,0.18208955223880596
28,7,0.008781921557873525,0.019516112191884687,8,0.14626865671641792
28,8,0.008438780483892686,0.015371012241257729,7,0.14029850746268657
