celebrity_name,ci_width_mean,ci_width_median,ci_width_std,cv_mean,cv_median,cv_std,season,n_obs
Jennie Finch Daigle,0.029660706954901167,0.0295976436947079,0.0008689071019195029,0.10190575171712586,0.1043065323017694,0.006170327742299125,26,3
Jennie Garth,0.05085265515407382,0.0535765752977829,0.008203871790330467,0.1041235165612637,0.1069288995636664,0.00879422940859716,5,9
Jennifer Grey,0.07121255784638117,0.07261360774630425,0.020571747013958405,0.09708039501438334,0.0985512987169325,0.011584840896443013,11,10
Jerry Rice,0.01402856646945285,0.0099923495042584,0.012549868357749317,0.018807449204786025,0.01414102552582465,0.009106646527131201,2,8
Jerry Springer,0.04495351887225966,0.0458015847854456,0.00511266137708994,0.10574685105650225,0.1062428001922885,0.009771905661095183,3,7
Jesse Metcalfe,0.01092177702940652,0.0121383159602367,0.0021000802232575286,0.04042567042425406,0.0359945669526554,0.010929683201054695,29,5
Jessie James Decker,0.00689860322744565,0.00648359946471065,0.002580621157416181,0.02435361466926032,0.023970129705769,0.008998630955845029,31,6
Jimmie Allen,0.0075570997074917625,0.007455275389408151,0.0032135331437034005,0.022230626073741187,0.0202201281456299,0.009520188033820364,30,8
JoJo Siwa,0.00876350068413636,0.0052838103228544,0.009826531960958132,0.01878146619684851,0.01346670139426535,0.012497669371187108,30,10
Joanna Krupa,0.044172298683442954,0.0485317861948413,0.009582365596042117,0.10573820274183077,0.1075884924316174,0.00627299524140812,9,9
Jodie Sweetin,0.029667758749629625,0.03018534969190215,0.0027353350188143452,0.08910671714249987,0.08937076235561585,0.006337102900426383,22,8
Joe Amabile,0.030546240916532665,0.031417273093442596,0.0038992213818450005,0.10052209118140495,0.09919108386462669,0.0062892508785151475,27,8
Joey Fatone,0.0631223105972522,0.06259471286427885,0.02975634999693824,0.09797262382715889,0.09748659219448505,0.008103840505435143,15,12
Joey Graziadei,0.011470657372632689,0.0064918497157363,0.011478122945694329,0.02107146915238741,0.0159759343679285,0.014550093233151462,33,9
Joey Lawrence,0.06416766750088128,0.0663546003843075,0.009669198020968472,0.11443559911354854,0.1150941064355941,0.008809824864370137,3,9
Joey McIntyre,0.02800218873334226,0.0220384785861548,0.012590970380728213,0.03163932280600386,0.0309031071990927,0.008326913772234828,1,5
John O'Hurley,0.02776041294264857,0.019637142019159802,0.019885769088977392,0.024474941227109567,0.0219829526814725,0.006513402770123983,1,6
John Ratzenberger,0.03361514603498311,0.0343026436613063,0.003331615210252765,0.10161499617209221,0.1022950808548605,0.006006511024366701,4,7
John Schneider,0.027590781534480444,0.0279142471854704,0.003050129402301992,0.08871461902257764,0.0909311100780703,0.004279825290868331,27,7
Johnny Damon,0.0273804318821587,0.0273804318821587,,0.0938920321885255,0.0938920321885255,,26,1
Johnny Weir,0.00583275411726759,0.00449326283378765,0.004020191200263558,0.015985483642590788,0.0119289596938971,0.009269505851511591,29,10
Jonathan Bennett,0.027928005980579432,0.02828999373914705,0.004101138561858773,0.09584819620520117,0.09587600737553484,0.0061867621823244665,19,6
Jordan Chiles,0.006608846558800891,0.0045563127890163,0.005809530692514674,0.01509299765208451,0.0111142244486277,0.009716761852051567,34,11
Jordan Fisher,0.054088313886070785,0.05047145204703675,0.017121630272288375,0.09758853399050009,0.09732120150729509,0.006079968467130023,25,10
Jordin Sparks,0.0076833439441926716,0.0073155432224235,0.00285060718103106,0.023996910447796515,0.0248530204358233,0.007235658607312836,31,7
Joseph Baena,0.007817040922529281,0.0062842081105551,0.0032418625443626594,0.03057788715472644,0.0268264373706526,0.011739757890287694,31,5
